dv,demvotesh,repvotesh,year,stcd,openlag,red,inc,pv,southborder,lagdv,cutpoint,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Year13,Year14,Year15,Year16,Year17,Year18,Year19,Year20,Year21,demmvlag,use
34.73109,34.73109,65.26891,1968,1317,,0,-1,36.12473,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
39.11357,39.11357,60.88643,1968,1318,,0,-1,43.34422,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
36.52193,36.52193,63.47808,1968,1319,,0,-1,45.21668,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
33.81378,33.81378,66.18622,1968,1320,,0,-1,42.00529,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
54.14553,54.14553,45.85447,1968,1321,,0,1,44.2432,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
35.6873,35.6873,64.3127,1968,1322,,0,-1,42.93319,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
53.98461,53.98461,46.0154,1968,1323,,0,1,45.10885,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
71.31808,71.31808,28.68192,1968,1324,,0,1,58.71777,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
56.8626,56.73685,43.04201,1968,1401,,0,1,60.94436,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
44.94142,44.94142,55.05857,1968,1402,,1,0,37.37041,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
52.23942,52.23942,47.76058,1968,1403,,1,1,43.62265,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
48.58124,48.58124,51.41876,1968,1404,,1,,40.3886,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
37.03541,37.03541,62.9646,1968,1405,,1,-1,37.94445,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
35.10885,35.10885,64.89114,1968,1406,,1,-1,33.01734,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
40.23643,40.23332,59.75894,1968,1407,,1,-1,42.68311,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
45.5416,45.5416,54.4584,1968,1408,,1,-1,45.42783,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
54.42324,54.42324,45.57676,1968,1409,,1,1,44.33924,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
46.12541,46.12541,53.87459,1968,1410,,1,0,42.71972,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
53.08147,53.08147,46.91853,1968,1411,,1,1,50.50562,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
46.99364,46.99337,53.00605,1968,1501,,0,-1,46.38164,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
55.05006,55.04889,44.94899,1968,1502,,0,1,46.4753,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
35.95152,35.95152,64.04848,1968,1503,,0,-1,40.25013,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
46.07333,46.07333,53.92667,1968,1504,,0,-1,44.73602,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
62.12632,62.12632,37.87368,1968,1505,,0,1,48.78891,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
34.95512,34.95512,65.04488,1968,1506,,0,-1,38.12006,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
34.90962,34.90962,65.09039,1968,1507,,0,-1,38.3365,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
48.54832,48.54774,51.45108,1968,1601,,0,0,35.15474,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
32.42516,32.42516,67.57484,1968,1602,,0,-1,37.19406,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
37.16747,37.16747,62.83253,1968,1603,,0,-1,42.44729,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
35.28983,35.2896,64.70976,1968,1604,,0,-1,40.77042,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
35.52592,35.52592,64.47408,1968,1605,,0,-1,38.07893,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,100,0,1968,1701,,0,1,54.78644,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
56.40437,56.40437,43.59563,1968,1702,,0,1,44.21198,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
44.05175,44.05175,55.94825,1968,1703,,0,-1,53.90499,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
35.03355,35.03355,64.96645,1968,1704,,0,-1,42.24738,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
26.14008,25.76104,72.78893,1968,1705,,0,-1,30.09503,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
57.14161,56.51048,42.38501,1968,1706,,0,1,46.92322,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
61.96424,61.96424,38.03576,1968,1707,,0,1,52.4423,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,100,0,1968,1801,,0,1,57.9023,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
51.22636,51.22636,48.77364,1968,1802,,1,1,52.3,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,100,0,1968,1803,,1,0,53.4,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,100,0,1968,1804,,0,1,50.79216,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,100,0,1968,1805,,1,1,54.1809,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
79.27293,79.27293,20.72707,1968,1806,,1,1,52.87511,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
84.94592,84.94592,15.05408,1968,1807,,1,1,61.4705,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,100,0,1968,1808,,1,1,56.1,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
