GUBERNATORIAL National Summary 2020
,
Office,CensusPop,raceYear,RaceTypeName,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
Governor,N/A,20181106,General,Oregon,"814,988","Buehler, Knute",Challenger,"934,498","Brown, Kate",Incumbent,Independent,"53,392","Starnes, Patrick",Challenger,"64,119","119,510",D,2.86,46.58,53.42,"The other vote was: Chen, Nick (Libertarian) 28,927; Auer, Aaron (Constitution) 21,145; Henry, Chris (Progressive) 11,013; Scattered Write-Ins (Write-in) 3,034"
Governor,N/A,20181106,General,Pennsylvania,"2,039,882","Wagner, Scott",Challenger,"2,895,652","Wolf, Thomas W.",Incumbent,Libertarian,"49,229","Krawchuk, Ken",Challenger,"27,792","855,770",D,.98,41.33,58.67,"The other vote was: Glover, Paul (Green) 27,792"
Governor,N/A,20181106,General,Arkansas,"582,406","Hutchinson, Asa",Incumbent,"283,218","Henderson, Jared K.",Challenger,Libertarian,"25,885","West, Mark",Challenger,N/A,"299,188",R,2.90,67.28,32.72,
Governor,N/A,20181106,General,Texas,"4,656,196","Abbott, Greg",Incumbent,"3,546,615","Valdez, Lupe",Challenger,Libertarian,"140,632","Tippetts, Mark Jay",Challenger,N/A,"1,109,581",R,1.69,56.76,43.24,
Governor,N/A,20181106,General,Rhode Island,"139,932","Fung, Allan",Challenger,"198,122","Raimondo, Gina",Incumbent,Independent,"16,532","Trillo, Joseph A.",Challenger,"21,815","58,190",D,4.39,41.39,58.61,"The other vote was: Gilbert, William H. (Moderate) 10,155; Munoz, Luis Daniel (Independent) 6,223; Armstrong, Anne (Compassion) 4,191; Scattered Write-Ins (Write-in) 1,246"
Governor,N/A,20181106,General,New Hampshire,"302,764","Sununu, Chris",Incumbent,"262,359","Kelly, Molly",Challenger,Libertarian,"8,197","Jarvis, Jilletta",Challenger,282,"40,405",R,1.43,53.57,46.43,The other vote was: Scattered Write-Ins (Write-in) 282
Governor,N/A,20181106,General,Arizona,"1,330,863","Ducey, Doug",Incumbent,"994,341","Garcia, David",Challenger,Green,"50,962","Torres, Angel",Challenger,275,"336,522",R,2.14,57.24,42.76,"The other vote was: Masoya, Patrick  (Write-in) 177; Komor, Christian  (Write-in) 66; Dolego, Cary (Write-in) 13; Arvizu, Arthur  Ray (Write-in) 12; Gibson, James II (Write-in) 7"
Governor,N/A,20181106,General,South Dakota,"172,912","Noem, Kristi",Challenger,"161,454","Sutton, Billie",Challenger,Libertarian,"4,848","Evans, Kurt",Challenger,N/A,"11,458",R,1.43,51.71,48.29,
Governor,N/A,20181106,General,Maine,"272,311","Moody, Shawn H.",Challenger,"320,962","Mills, Janet T.",Challenger,Independent,"37,268","Hayes, Teresea",Challenger,126,"48,651",D,5.91,45.90,54.10,The other vote was: Scattered Write-Ins (Write-in) 126
Governor,N/A,20181106,General,Massachusetts,"1,781,341","Baker, Charles D.",Incumbent,"885,770","Gonzalez, Jay",Challenger,Write-in,"7,504",Scattered Write-Ins,Challenger,N/A,"895,571",R,.28,66.79,33.21,
Governor,N/A,20181106,General,Hawaii,"131,719","Tupola, Andria",Challenger,"244,934","Ige, David Yutaka",Incumbent,Green,"10,123","Brewer, Jim",Challenger,"4,067","113,215",D,2.59,34.97,65.03,"The other vote was: Teruya, Terrence (Non Partisan) 4,067"
Governor,N/A,20181106,General,Iowa,"667,275","Reynolds, Kim",Incumbent,"630,986","Hubbell, Fred",Challenger,Libertarian,"21,426","Porter, Jake",Challenger,"7,951","36,289",R,1.61,51.40,48.60,"The other vote was: Siegwarth, Gary (Clear Water Party of Iowa) 7,463; Scattered Write-Ins (Write-in) 488"
Governor,N/A,20181106,General,Illinois,"1,765,751","Rauner, Bruce",Incumbent,"2,479,746","Pritzker, Jay",Challenger,Conservative,"192,527","McCann, William",Challenger,"109,633","713,995",D,4.23,41.59,58.41,"The other vote was: Jackson, Grayson Kash (Libertarian) 109,518; Foster, Nancy (Write-in) 32; Ryan, Kevin D. (Write-in) 20; 753, JO (Write-in) 16; Scruggs, Michael W. (Write-in) 15; Moore, Greg (Write-in) 13; Canfield, Robert (Write-in) 12; Kuna, Thomas J. (Write-in) 4; Tholin, David (Write-in) 3"
Governor,N/A,20181106,General,Georgia,"1,978,408","Kemp, Brian",Challenger,"1,923,685","Abrams, Stacey",Challenger,Libertarian,"37,235","Metz, Ted",Challenger,81,"54,723",R,.95,50.70,49.30,"The other vote was: Mack, Rod (Write-in) 24; Williams, Bobby (Write-in) 24; Waldrep, Bobby (Write-in) 21; Byrne, David C. (Write-in) 12"
Governor,N/A,20181106,General,New York,"2,207,602","Molinaro, Marcus",Challenger,"3,635,340","Cuomo, Andrew M.",Incumbent,Green,"103,946","Hawkins, Howie",Challenger,"157,589","1,427,738",D,1.70,37.78,62.22,"The other vote was: Sharpe, Larry (Libertarian) 95,033; Miner, Stephanie (Serve America Movement) 55,441; Scattered Write-Ins (Write-in) 7,115"
Governor,N/A,20181106,General,Nevada,"440,320","Laxalt, Adam",Challenger,"480,007","Sisolak, Steve",Challenger,No Party,"13,891","Bundy, Ryan",Challenger,"37,581","39,687",D,1.43,47.84,52.16,"The other vote was: Best, Russell (Independent American) 10,076; Lord, Jared (Libertarian) 8,640"
Governor,N/A,20181106,General,Michigan,"1,859,534","Schuette, Bill",Challenger,"2,266,193","Whitmer, Gretchen",Challenger,Libertarian,"56,606","Gelineau, Bill",Challenger,"68,252","406,659",D,1.33,45.07,54.93,"The other vote was: Schleiger, Todd (U.S. Taxpayers) 29,219; Kurland, Jennifer V. (Green) 28,799; Butkovich, Keith (Natural Law) 10,202; Rowley, Francis L. (Write-in) 11; Space, Evan (Write-in) 8; Herman, Lance (Write-in) 4; Cobbs, William (Write-in) 3; Sanders, Robin Lee (Write-in) 2; Penny, Chaneika Ranell (Write-in) 1; Lester, Henry Joseph (Write-in) 1; Lynch, Clyde Darnell (Write-in) 1; Burney, Patrick O'Neal (Write-in) 1; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0; Hutchinson, Larry Jr. (Write-i"
Governor,N/A,20181106,General,Connecticut,"650,138","Stefanowski, Bob",Challenger,"694,510","Lamont, Ned",Challenger,Griebel Frank for CT,"54,741","Griebel, Oz",Challenger,"7,414","44,372",D,3.89,48.35,51.65,"The other vote was: Hanscomb, Rodney (Libertarian) 6,086; Greenstein, Mark Stewart (Amigo Constitution Liberty) 1,254; Whitnum, Lee (Write-in) 74"
