GUBERNATORIAL National Summary 1980
,
Office,CensusPop,raceYear,RaceTypeName,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
Governor,N/A,1978,General,Oklahoma,"367,055","Shotts, Ron",Challenger,"402,240","Nigh, George",Challenger,N/A,N/A,N/A,N/A,"8,119","35,185",D,.00,47.71,52.29,
Governor,N/A,1978,General,Oregon,"498,452","Atiyeh, Victor",Challenger,"409,411","Straub, Robert W.",Incumbent,N/A,N/A,N/A,N/A,"3,280","89,041",R,.00,54.90,45.10,
Governor,N/A,1978,General,Pennsylvania,"1,966,042","Thornburgh, Richard",Challenger,"1,737,888","Flaherty, Peter",Challenger,N/A,N/A,N/A,N/A,"38,039","228,154",R,.00,53.08,46.92,
Governor,N/A,1978,General,Rhode Island,"96,596","Almond, Lincoln C.",Challenger,"197,386","Garrahy, J. Joseph",Incumbent,N/A,N/A,N/A,N/A,"20,381","100,790",D,.00,32.86,67.14,
Governor,N/A,1978,General,South Carolina,"236,946","Young, Edward L.",Challenger,"384,898","Riley, Richard W.",Challenger,N/A,N/A,N/A,N/A,"5,338","147,952",D,.00,38.10,61.90,
Governor,N/A,1978,General,South Dakota,"147,116","Janklow, William J.",Challenger,"112,679","McKellips, Roger",Challenger,N/A,N/A,N/A,N/A,N/A,"34,437",R,.00,56.63,43.37,
Governor,N/A,1978,General,Tennessee,"661,959","Alexander, Lamar",Challenger,"523,495","Butcher, Jake",Challenger,N/A,N/A,N/A,N/A,"4,241","138,464",R,.00,55.84,44.16,
Governor,N/A,1978,General,Texas,"1,183,839","Clements, William P.",Challenger,"1,166,979","Hill, John",Challenger,N/A,N/A,N/A,N/A,"18,946","16,860",R,.00,50.36,49.64,
Governor,N/A,1978,General,Vermont,"78,181","Snelling, Richard A.",Incumbent,"42,482","Granai, Edwin C.",Challenger,N/A,N/A,N/A,N/A,"3,819","35,699",R,.00,64.79,35.21,
Governor,N/A,1978,General,Wisconsin,"816,056","Dreyfus, Lee S.",Challenger,"673,813","Schreiber, Martin J.",Incumbent,N/A,N/A,N/A,N/A,"11,127","142,243",R,.00,54.77,45.23,
Governor,N/A,1978,General,Wyoming,"67,595","Ostlund, John C.",Challenger,"69,972","Herschler, Ed",Incumbent,N/A,N/A,N/A,N/A,N/A,"2,377",D,.00,49.14,50.86,
,
CensusPopAll,AreaAll,TotalVotesAll,RepVotesAll,DemVotesAll,ThirdVotesAll,OtherVotesAll,PluralityVotesAll,PluralityPartyAll,RepVotesTotalPercentAll,DemVotesTotalPercentAll,ThirdVotesTotalPercentAll,OtherVotesTotalPercentAll,RepVotesMajorPercentAll,DemVotesMajorPercentAll
N/A,United States,"47,894,618","22,298,085","24,394,368",N/A,"1,202,165","2,096,283",D,46.56,50.93,.00,2.51,47.76,52.24
,
,
,
GUBERNATORIAL National Summary 1977
,
Office,CensusPop,raceYear,RaceTypeName,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
Governor,N/A,1977,General,New Jersey,"888,880","Bateman, Raymond H.",Challenger,"1,184,564","Byrne, Brendan T.",Incumbent,N/A,N/A,N/A,N/A,"52,820","295,684",D,.00,42.87,57.13,
Governor,N/A,1977,General,Virginia,"699,302","Dalton, John N.",Challenger,"541,319","Howell, Henry",Challenger,N/A,N/A,N/A,N/A,"10,319","157,983",R,.00,56.37,43.63,
,
CensusPopAll,AreaAll,TotalVotesAll,RepVotesAll,DemVotesAll,ThirdVotesAll,OtherVotesAll,PluralityVotesAll,PluralityPartyAll,RepVotesTotalPercentAll,DemVotesTotalPercentAll,ThirdVotesTotalPercentAll,OtherVotesTotalPercentAll,RepVotesMajorPercentAll,DemVotesMajorPercentAll
N/A,United States,"3,377,204","1,588,182","1,725,883",N/A,"63,139","137,701",D,47.03,51.10,.00,1.87,47.92,52.08
,
,
,
GUBERNATORIAL National Summary 1976
,
Office,CensusPop,raceYear,RaceTypeName,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
Governor,N/A,19761102,General,Arkansas,"121,716","Griffith, Leon",Challenger,"605,083","Pryor, David H.",Incumbent,N/A,N/A,N/A,N/A,150,"483,367",D,.00,16.75,83.25,
Governor,N/A,19761102,General,Delaware,"130,531","du Pont, Pierre S. IV",Challenger,"97,480","Tribbitt, Sherman W.",Incumbent,N/A,N/A,N/A,N/A,"1,552","33,051",R,.00,57.25,42.75,
Governor,N/A,19761102,General,Illinois,"3,000,395","Thompson, James R.",Challenger,"1,606,989","Howlett, Michael J.",Challenger,N/A,N/A,N/A,N/A,"28,344","1,393,406",R,.00,65.12,34.88,
Governor,N/A,19761102,General,Indiana,"1,236,555","Bowen, Otis R.",Incumbent,"927,243","Conrad, Larry A.",Challenger,N/A,N/A,N/A,N/A,"11,526","309,312",R,.00,57.15,42.85,
Governor,N/A,19761102,General,Missouri,"958,110","Bond, Kit",Incumbent,"971,184","Teasdale, Joseph P.",Challenger,N/A,N/A,N/A,N/A,"4,281","13,074",D,.00,49.66,50.34,
Governor,N/A,19761102,General,Montana,"115,848","Woodahi, Robert",Challenger,"195,420","Judge, Thomas L.",Incumbent,N/A,N/A,N/A,N/A,"5,452","79,572",D,.00,37.22,62.78,
Governor,N/A,19761102,General,North Carolina,"564,092","Flaherty, David T.",Challenger,"1,081,293","Hunt, James B. Jr.",Challenger,N/A,N/A,N/A,N/A,"18,429","517,201",D,.00,34.28,65.72,
Governor,N/A,19761102,General,North Dakota,"138,321","Elkin, Richard",Challenger,"153,309","Link, Arthur A.",Incumbent,N/A,N/A,N/A,N/A,"5,619","14,988",D,.00,47.43,52.57,
